flower_id,name_ko,name_en,scientific_name,is_main_candidate,focal,filler,line,foliage,airy,color_palette_primary,color_palette_alt,warm_cool,saturation,color_direction,bloom_size_cm,stem_length_cm,price_tier,vase_life_days,season_peak,availability_level,scent_strength,toxicity_pets,symbolism,mood_fit,occasions_fit,image_ref
1,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,빨강,"열정, 사랑",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_빨강.jpg
2,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,주황,"에너지, 활력",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_주황.jpg
3,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,노랑,"기쁨, 행복",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_노랑.jpg
4,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,분홍,"사랑, 감사",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_분홍.jpg
5,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,흰색,"순수, 진심",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_흰색.jpg
6,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,보라,"신비, 우아함",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_보라.jpg
7,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,살구,"따뜻함, 친근함",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_살구.jpg
8,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,핫핑크,"열정, 사랑",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_핫핑크.jpg
9,마가렛,Marguerite Daisy,Argyranthemum frutescens,1,0,1,0,0,1,흰색,"순수, 진실",,,,,,중급,,"봄, 여름",,,,"순수, 진실, 신뢰, 평화","차분한, 순수한, 깔끔한, 모던한","사과, 화해, 감사, 축하",Marguerite Daisy_흰색.jpg
10,마가렛,Marguerite Daisy,Argyranthemum frutescens,1,0,1,0,0,1,분홍,"사랑, 감사",,,,,,중급,,"봄, 여름",,,,"순수, 진실, 신뢰, 평화","차분한, 순수한, 깔끔한, 모던한","사과, 화해, 감사, 축하",Marguerite Daisy_분홍.jpg
